"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
100997,95441.7,183683,69890.4,57456.8,153246,10830.1,1.36342
100296,102535,172368,80309,70258.6,150915,20840.5,1.36696
68976.9,67589.1,159694,96024.6,83654.5,153708,13226,1.36698
123155,117806,189203,110660,94774.1,158890,20341.9,1.36761
92958.4,91805.1,169979,62007.8,55814.7,143946,18086.1,1.36782
98525.2,94613.7,172066,88952.2,75385.1,154581,33706.6,1.36794
95507.3,88119.9,177081,70726.7,60049.5,147162,10050.2,1.37502
131536,116589,197322,137368,108970,166666,45415.2,1.37593
117100,112231,191652,93422.8,79477.7,152219,33235.3,1.38348
107083,99644.2,177151,121214,103930,160407,42295.7,1.38366
77111,81380.1,157695,71279.1,66636.3,145233,14033.3,1.3908
93244.4,89728.5,168973,96562.4,86590.1,153314,19266.9,1.39351
135824,128791,201066,127824,93197.4,169101,37327.9,1.40845
116428,115417,192456,119110,101902,158573,20307.9,1.41
118093,107865,187430,98921.5,85020.1,155738,40955.3,1.41162
119458,107237,194333,90259.4,75078.1,154773,21396.4,1.4153
111886,94676,190288,84555.3,69137.5,158163,13977.5,1.42104
107571,105697,188768,89368.5,77844,156316,35600.2,1.42266
113783,103044,182953,74444.6,61627.7,149535,28572.8,1.42502
129324,120919,198619,95176.8,76100.4,156483,35952.9,1.42789
97046.6,79722,179904,68945.4,56807.7,151074,26924.7,1.43731
113860,102227,188955,89943.6,75186.6,158402,34516.9,1.44045
138759,126895,204034,99799.1,79560.6,158317,28143.4,1.44308
111409,104211,183182,83319.2,72372.9,144583,31340.8,1.4433
103064,99847.8,176957,105084,90968.8,155440,16316.5,1.44398
110981,102253,179815,111125,91382.4,158721,18163.9,1.45627
140683,117454,209713,164152,118412,175053,29822.9,1.45919
85044.3,81720.9,171607,85534.1,76501.3,151957,42512.2,1.46003
143947,115194,206631,82864.4,62859.6,154962,16705.8,1.47528
97535.3,96670.1,172754,89681.9,80667.4,152763,26532.6,1.47641
97960.7,96289.4,174445,109003,98509,153622,14006.1,1.47738
133878,126096,198602,106223,85411.8,160678,29477.4,1.48078
110071,103254,184207,78930.5,68774.8,146137,23514.7,1.48784
96389.4,93114.4,173195,89258.3,78511.6,156589,15272.1,1.49369
77930.1,78272.1,159646,66300.8,64200.6,138442,7299.73,1.49378
125040,117528,199820,85008.7,68446.1,155091,28360.7,1.49662
104296,99450.7,174950,120959,100361,163286,38848.4,1.49737
73023.5,72765.8,163057,62734.7,60483.5,137875,18189.6,1.50063
87534,86485,170279,67606.6,64777.8,143659,29884,1.50201
107207,101090,183474,98423.9,87617.4,152299,28570.1,1.50959
102600,93134.9,175736,81165.4,71650.9,152601,28224.9,1.50972
112266,108517,178626,92743.8,81083.5,154732,12652.4,1.51581
