"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","Time"
124557,124119,194387,105922,96218.6,160006,68838.5,3.10129
88458.9,98140.8,173518,35656.9,38464.5,116676,30082.6,3.10566
110630,116980,186041,66084.2,68625.4,141759,53657,3.12031
113061,111114,192879,77058,76426.9,146014,33978.9,3.13157
120569,112102,197314,94708.9,88531.9,152404,67890.6,3.14126
114711,117091,190094,72900.5,73265.7,144898,32414.4,3.14937
68994.8,75673.8,158000,42611.1,49478.8,129215,33151.4,3.1524
149520,138419,211046,108449,99123.9,159817,55771.6,3.15381
71621.4,78417.6,153211,55791.5,64438.7,135555,18366.8,3.16037
98718.5,96184.7,176143,76276.2,75628.5,148615,43957.7,3.17468
86064.9,94104.6,175435,60040.4,65427,141021,24247.8,3.18355
88870.7,95605.3,178350,66600.8,69562.1,136499,26884.8,3.19116
75816.1,83744.5,164933,47492.7,52306.2,131896,34831.8,3.2129
128613,117700,197246,110453,105190,154702,87987.6,3.21658
69053.9,76599.2,152077,42499.9,46510.9,128915,22596.6,3.22751
99097.8,102282,183747,93913.9,91351.3,152988,26384.2,3.23174
84161.9,89820.6,165720,79340.4,87360.5,146033,36773.8,3.23847
128961,127792,197392,95296,91113.6,153896,48778.3,3.23851
107641,109154,182255,101249,100077,152965,40232.2,3.2502
98360.8,100911,175858,69080.5,69177.9,144759,35793.7,3.25208
103195,107794,182285,72797.3,77619.1,141362,62524,3.25268
81506.2,83893.7,168088,59734.3,62174.1,141696,25416.6,3.27067
71502.1,77944.3,157609,53190.9,58926,134681,20179.8,3.2725
139450,130681,206343,109336,97128.6,162327,148192,3.27422
124358,124092,194346,94785.3,98186.4,151126,44756.4,3.27843
102052,102080,181681,101893,103358,155139,28750.7,3.2787
102984,95523,188558,119844,112342,159999,69282.5,3.28603
80265.4,87282.6,162013,51750.1,57118.2,135021,39571.9,3.29464
87924.3,91515.4,179477,67043.3,71425.6,139624,37726.4,3.29561
127783,126161,196187,81573.7,77797.7,151229,54729.9,3.31109
89047.2,92752.7,167283,67018.3,68828.7,143835,43370.1,3.31551
112203,113782,191530,98810.3,104977,151300,30767.9,3.32641
73046.4,72122.6,160510,100834,109384,146165,46290.6,3.33962
82341.1,86804.6,162023,47665.1,50700.6,134807,29299.7,3.35463
77712.5,74974.9,168740,106052,99387.8,157951,50762.6,3.35647
94131.9,92690.4,177104,67848,65377.6,146443,41981.2,3.3687
132718,133036,198622,96409.8,94882.8,153160,77547.5,3.37406
68586.1,75633,153041,48739.3,53100.8,131745,27813.9,3.38741
70451.7,80023.5,165829,36472.2,42232.7,124634,22019.4,3.38865
101751,105384,183854,66675.7,67050.2,141581,48907.6,3.39699
75141.8,79396.9,162756,75410.8,83253.8,143549,52433.4,3.42328
126538,122989,194128,96222.6,92930.3,153283,115203,3.42554
92704.6,98590.1,169704,68743.5,71617.1,143081,35757.7,3.42738
79742.6,84487.6,165293,84102.4,87373.1,148660,48957.8,3.44911
98640,103450,182918,62206.1,63947.2,141073,43345.5,3.45467
116596,114549,193737,81315.8,79225,147156,81307.7,3.45976
87761.5,91983.1,166869,54056.1,57553,135173,31735.8,3.47018
112218,114462,189842,71779.1,73133.4,141421,79049.9,3.47496
149806,141691,200804,113665,101663,162414,92636,3.47858
106089,107218,190041,69095.6,69641.6,144704,56740.6,3.48961
88031.8,94714.3,176321,57139,61182.5,135720,52472.7,3.494
89155.9,92510.6,176840,59879.7,63625.2,135862,26921.4,3.50578
86944.1,94853,178948,45872.7,51865.6,128572,45142.5,3.5077
93019.7,91899.5,179066,92100.9,95921.8,149334,30140,3.50864
106957,107031,179526,86510.1,88164.7,144609,128597,3.50868
80643.6,87760,169356,47494.8,53229.4,134381,33852.8,3.51288
92861.4,98415.7,181744,64455.4,70428.6,139375,77831.7,3.51599
151407,139564,207116,94621.6,87994.1,157626,120825,3.52615
131297,125426,197386,96308.6,86453.9,158880,56766.5,3.53806
105239,106895,182498,84520.6,86293.4,148227,104869,3.56055
111872,113664,183443,91214.7,100356,145758,72114.1,3.56084
124900,124984,194101,80192.4,84847,141622,93400.9,3.56285
68671.8,76902.6,152267,50675.9,55683.5,136010,29834.3,3.57546
76966.1,85016.1,165978,62328.4,71383,135993,54657.5,3.58264
99769.9,101842,179473,65271.7,67767.9,140954,46487,3.58284
78516.6,86637.5,160820,58635.9,62603.8,137502,23691.7,3.61577
89864.4,90794.9,174760,65886.9,67285,145929,42987.9,3.61664
137436,134171,198739,86431.5,84481,152161,128749,3.61876
111278,111471,186723,91014.2,96222.4,149264,75386.1,3.62217
87572.7,95823.5,166226,63423.8,68808.4,140695,32158.9,3.62494
66419,75443.3,155768,37474.6,42587.8,119670,30435.9,3.62839
111405,113743,186785,72558.8,72620.2,145762,56056.7,3.63164
69558.2,75477,158969,39801,45298.5,127866,26156.9,3.64249
81697.3,84515.1,161634,64580.2,71331.9,141140,25114.9,3.65101
130530,127600,199885,88102.3,87424.3,151212,77979.6,3.6588
92019.9,95889.9,174733,92890.6,88775.2,153276,34147.5,3.69125
114768,117836,188239,74839.7,75250.9,144238,63142.4,3.69729
71371.4,79939.7,163222,61829.3,69515.2,135388,23600.1,3.70404
88090,93511.9,179551,49861.3,50113,130723,23102,3.71699
105018,113460,183947,74156.5,76577.2,141258,55910.7,3.71727
83159.9,90317.8,168125,67332.7,70086,144047,24643,3.72713
107831,109779,187017,59879.5,61275.5,142681,44772.5,3.73119
88842.3,95181.9,168233,67923.7,71449.9,141856,27626,3.73184
79942.6,87850.2,165241,53204.1,59948.9,134416,37017.6,3.7424
107255,110031,187424,88991.9,91146.1,148713,83754.5,3.74796
120307,120727,189369,78883.5,79297.8,146560,75508.8,3.7513
114600,113507,187019,79896.6,80930.5,148136,73657.3,3.75487
76221.7,80728,160197,48226.1,51941.9,128724,30073,3.75797
102903,101327,176943,84492.9,85316.2,148581,73767.9,3.76118
114529,116779,193528,74818.9,76160.9,144989,100835,3.77582
94431.1,96603.4,172460,59620.1,60693.7,140501,33124.5,3.78346
77627,86201.1,165462,53359.3,58885,133215,24123.4,3.7894
93620.1,97240.7,176301,67253.5,68993,145733,41546.6,3.79486
125885,125994,191287,88060.1,87291.9,151124,59823.1,3.79948
134710,123903,201728,101027,97755.5,153817,90531.1,3.80151
100705,104825,179390,56982.2,60188.7,136207,49260.2,3.80787
101365,106321,182509,60732.1,63951.9,137680,52899.4,3.80923
96781.4,102919,173769,73698,79122.1,143452,32281,3.81373
107153,106090,190245,94152.8,94517.2,151567,106027,3.81503
84382.6,84831,166642,66038,68287.5,145015,32395.2,3.82839
95096.6,97941.9,172341,66654.2,68995.3,144778,24445.3,3.83541
73757.5,77691.4,159212,50000.9,52067.4,135044,25911.4,3.83818
89499.8,94262.3,176618,66287.2,67225.7,144240,30001,3.85306
89304.4,90948.6,179328,75616,79806.9,142451,34084.3,3.86022
119086,122769,193888,83798.2,82985.4,151668,85900.8,3.88039
124726,122657,194274,72108.4,72318,145885,55925.8,3.88787
119922,114928,193848,94962.3,88204.5,156206,56876.7,3.88978
114808,114672,192652,89161.6,92240.5,151420,36380.8,3.89531
114514,117429,186041,82238.5,83741.7,148133,47381.1,3.90055
81656.5,84910.1,163050,61695.5,66338,139429,27835.7,3.91445
