"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
125513,124476,200346,138394,116521,168924,23.9168,4.70653
87067,94979.4,171215,96007.8,86681.9,152916,44.102,4.71758
114245,116815,200051,71244.8,66941.4,145479,78.9932,4.72377
90635.6,98340,182873,67866.1,64873.9,140130,3.82059,4.74762
117778,106507,200342,106581,94598.3,158552,39.7034,4.75937
104282,93600.7,185822,95213.2,73163.5,164857,26.7969,4.80027
152392,136989,216024,153112,128336,173344,84.2867,4.81429
84794,89115.8,172763,72796.4,66378.2,145614,0.265601,4.83807
102283,98204.9,186725,125016,99360.5,168319,50.0176,4.84013
122843,130499,197486,77593.3,75111,144599,27.4027,4.84578
118122,120961,192491,95729.8,86652.4,155790,29.8324,4.86285
120418,110861,199054,122301,113129,157563,64.1607,4.89357
157046,147354,216725,157399,127957,171369,156.947,4.89476
136972,123781,207690,161732,122669,177073,53.4706,4.90858
139789,119804,206455,132958,101210,172141,149.147,4.91352
99606.1,104669,179816,75463,73047,147451,39.5606,4.91431
102664,104132,188986,76319.3,67658.1,152361,0.66427,4.9386
100269,104205,179741,86362.8,75181.9,154878,18.8897,4.9489
115658,113831,197786,97977.1,84806.5,155846,274.669,4.95268
115420,118697,196488,101434,90842.9,159117,68.2983,4.97026
140037,134412,207084,98177.6,85110.5,155513,76.3438,4.97282
75868,77339.9,165403,86941.7,81098.3,152140,43.143,4.97306
111037,104092,186970,102752,82657.6,163776,35.0066,4.97339
124196,116554,200590,98655,79753,161548,74.0405,4.97657
83738.2,79149.3,174771,104842,86436.5,160166,24.5194,4.98584
149403,142264,206617,164103,134305,171732,92.041,4.98972
140712,124503,209761,133982,118936,164451,721.031,4.99179
77826.6,83853.5,159303,70233.6,68985.4,144891,1.06326,5.01677
110913,94007.7,199211,83870,62532.6,159847,21.8819,5.02347
128862,111736,205466,116138,85572.5,174799,49.9363,5.02853
119795,116060,194248,129499,115754,161849,38.8942,5.04609
99156.9,100944,182890,97543.3,90083,156609,7.67047,5.0543
114565,103468,194362,92973,76771.3,156079,33.3081,5.05468
162469,136498,224331,157030,123865,179352,96.7555,5.05778
107583,105534,194116,101661,91941.7,151296,22.4823,5.06032
91894.7,90564.3,181761,89370.3,81465.5,152373,102.846,5.06357
121191,114191,202444,106766,87196.7,162903,41.2774,5.06721
151765,131002,214026,156876,116133,176834,93.5554,5.07526
115052,114103,194599,101020,91867.9,155053,68.9077,5.08059
100017,101598,186884,89960.4,87028.4,151490,47.3739,5.08105
161659,135615,218580,144306,103641,177473,83.2893,5.09081
101451,102367,185857,117641,100507,160576,12.0931,5.09109
139367,123432,207990,127515,95526.2,169805,57.2262,5.10374
108314,110505,187333,78015.5,72510.4,149464,26.1917,5.12843
164026,138604,222519,141085,92562,180090,39.7511,5.13275
127773,119287,198753,99339.8,81802.1,161245,37.4215,5.14009
78141,74642.5,171644,98352.5,85114,158977,29.4579,5.14453
94172,92054.6,179941,100924,91412.1,158422,55.2178,5.17415
132630,113987,200147,118493,89034.6,168482,-4.12375,5.18009
80229.2,87390.7,169965,80632.1,74483.4,148583,-3.45728,5.19813
103878,94989.8,186714,120734,98186.2,165748,20.591,5.21389
78202.6,85784.4,167963,55266.5,56275.2,139377,35.3375,5.22772
